"Type","Flight.Type","Day","AverageDelay","TotalFlight"
"Arrival","Domestic","2015-07-14",0.82,2023
"Arrival","Domestic","2015-07-15",1.98,2009
"Arrival","Domestic","2015-07-16",3.32,2055
"Arrival","Domestic","2015-07-17",4.45,2074
"Arrival","Domestic","2015-07-18",0.93,1652
"Arrival","Domestic","2015-07-19",1.52,1732
"Arrival","Domestic","2015-07-20",1.64,2103
"Arrival","Domestic","2015-07-21",3.69,2028
"Arrival","Domestic","2015-07-22",4.2,2036
"Arrival","Domestic","2015-07-23",2.4,2069
"Arrival","Domestic","2015-07-24",4.06,2087
"Arrival","Domestic","2015-07-25",5.05,1637
"Arrival","Domestic","2015-07-26",1.98,1730
"Arrival","Domestic","2015-07-27",5.34,2066
"Arrival","Domestic","2015-07-28",12.66,2000
"Arrival","Domestic","2015-07-29",6.87,2002
"Arrival","Domestic","2015-07-30",14.56,2002
"Arrival","Domestic","2015-07-31",4.96,2074
"Arrival","Domestic","2015-08-01",4.06,1617
"Arrival","Domestic","2015-08-02",-0.06,1712
"Arrival","Domestic","2015-08-03",0.28,2144
"Arrival","Domestic","2015-08-04",-0.9,2011
"Arrival","Domestic","2015-08-05",-1.53,2030
"Arrival","Domestic","2015-08-06",-1.75,2041
"Arrival","Domestic","2015-08-07",1.45,2098
"Arrival","Domestic","2015-08-08",-1.49,1614
"Arrival","Domestic","2015-08-09",-2.51,1721
"Arrival","Domestic","2015-08-10",2.08,1419
"Arrival","Domestic","2015-08-11",-2.42,1952
"Arrival","Domestic","2015-08-12",-2.54,1928
"Arrival","Domestic","2015-08-13",-1.35,1975
"Arrival","Domestic","2015-08-14",-1.37,2093
"Arrival","Domestic","2015-08-15",-0.1,1552
"Arrival","Domestic","2015-08-16",-1.72,1724
"Arrival","Domestic","2015-08-17",-1.64,2122
"Arrival","Domestic","2015-08-18",-1.94,1916
"Arrival","Domestic","2015-08-19",-0.83,1934
"Arrival","Domestic","2015-08-20",-1.22,2026
"Arrival","Domestic","2015-08-21",-1.21,2139
"Arrival","Domestic","2015-08-22",-1.85,1542
"Arrival","Domestic","2015-08-23",-0.08,1689
"Arrival","Domestic","2015-08-24",-1.38,2203
"Arrival","Domestic","2015-08-25",-0.31,1916
"Arrival","Domestic","2015-08-26",-1.53,1933
"Arrival","Domestic","2015-08-27",2.67,1989
"Arrival","Domestic","2015-08-28",0.08,2102
"Arrival","Domestic","2015-08-29",-2.67,1536
"Arrival","Domestic","2015-08-30",-0.96,1696
"Arrival","Domestic","2015-08-31",-0.15,2124
"Arrival","Domestic","2015-09-01",-1.31,1913
"Arrival","Domestic","2015-09-02",-1.48,1917
"Arrival","Domestic","2015-09-03",-0.1,2019
"Arrival","Domestic","2015-09-04",0.87,2142
"Arrival","Domestic","2015-09-05",-0.54,1531
"Arrival","Domestic","2015-09-06",-0.37,1344
"Arrival","Domestic","2015-09-07",2.13,1922
"Arrival","Domestic","2015-09-08",13.08,1882
"Arrival","Domestic","2015-09-09",8.38,1936
"Arrival","Domestic","2015-09-10",4.96,1932
"Arrival","Domestic","2015-09-11",7.35,2053
